File Name,Set Associativity,Total Access Time (s),Mean Time (s),Total Energy (J),Mean Energy (J),L1i Accesses,L1i Misses,L1i Hit Rate,L1i Idle Consumption (J),L1i Active Consumption (J),L1i Energy (J),L1i Mean Energy (J),L1d Accesses,L1d Misses,L1d Hit Rate,L1d Idle Consumption (J),L1d Active Consumption (J),L1d Energy (J),L1d Mean Energy (J),L2 Accesses,L2 Misses,L2 Hit Rate,L2 Idle Consumption (J),L2 Active Consumption (J),L2 Energy (J),L2 Mean Energy (J),DRAM Accesses,DRAM Idle Consumption (J),DRAM Active Consumption (J),DRAM Energy (J),DRAM Mean Energy (J)
008.espresso.din,2,0.005000807000039557,0.0005000807000039557,0.024453324190144836,0.0024453324190144834,8093680.0,17160.0,0.9978798272232161,0.0025004035000197786,0.00404684000003849,0.006547243500058269,0.0006547243500058269,1906320.0,10056.0,0.994724915019514,0.0025004035000197786,0.00404684000003849,0.00345356350001681,0.00034535635000168096,623966.0,8006.0,0.9871691726792806,0.0040006456000316465,0.0056188138300064675,0.009619459430038115,0.0009619459430038115,4608.0,0.0040006456000316465,0.0008324121599999973,0.004833057760031644,0.00048330577600316446
008.espresso.din,4,0.004999700000039661,0.0004999700000039661,0.02441679635014511,0.002441679635014511,8093680.0,17010.0,0.9978983602020342,0.0024998500000198306,0.00404684000003849,0.006546690000058321,0.0006546690000058321,1906320.0,10020.0,0.9947437995719501,0.0024998500000198306,0.00404684000003849,0.0034530100000168622,0.0003453010000016862,623800.0,7980.0,0.9872074382815005,0.00399976000003173,0.005617319000006465,0.009617079000038196,0.0009617079000038195,4430.0,0.00399976000003173,0.0008002573499999974,0.004800017350031727,0.00048000173500317266
008.espresso.din,8,0.004999700000039661,0.0004999700000039661,0.02441679635014511,0.002441679635014511,8093680.0,17010.0,0.9978983602020342,0.0024998500000198306,0.00404684000003849,0.006546690000058321,0.0006546690000058321,1906320.0,10020.0,0.9947437995719501,0.0024998500000198306,0.00404684000003849,0.0034530100000168622,0.0003453010000016862,623800.0,7980.0,0.9872074382815005,0.00399976000003173,0.005617319000006465,0.009617079000038196,0.0009617079000038195,4430.0,0.00399976000003173,0.0008002573499999974,0.004800017350031727,0.00048000173500317266
013.spice2g6.din,2,0.005069545000034106,0.0005069545000034106,0.026273945600129123,0.0026273945600129123,7841790.0,26070.0,0.9966755039346884,0.002534772500017053,0.003920895000036508,0.00645566750005356,0.000645566750005356,2158230.0,7930.0,0.9963256928130922,0.002534772500017053,0.003920895000036508,0.0036138875000126538,0.0003613887500012654,764130.0,9760.0,0.9872273042545117,0.004055636000027284,0.006880990650008332,0.010936626650035615,0.0010936626650035616,6710.0,0.004055636000027284,0.0012121279499999961,0.005267763950027282,0.0005267763950027282
013.spice2g6.din,4,0.005069545000034106,0.0005069545000034106,0.026273945600129123,0.0026273945600129123,7841790.0,26070.0,0.9966755039346884,0.002534772500017053,0.003920895000036508,0.00645566750005356,0.000645566750005356,2158230.0,7930.0,0.9963256928130922,0.002534772500017053,0.003920895000036508,0.0036138875000126538,0.0003613887500012654,764130.0,9760.0,0.9872273042545117,0.004055636000027284,0.006880990650008332,0.010936626650035615,0.0010936626650035616,6710.0,0.004055636000027284,0.0012121279499999961,0.005267763950027282,0.0005267763950027282
013.spice2g6.din,8,0.005069545000034106,0.0005069545000034106,0.026273945600129123,0.0026273945600129123,7841790.0,26070.0,0.9966755039346884,0.002534772500017053,0.003920895000036508,0.00645566750005356,0.000645566750005356,2158230.0,7930.0,0.9963256928130922,0.002534772500017053,0.003920895000036508,0.0036138875000126538,0.0003613887500012654,764130.0,9760.0,0.9872273042545117,0.004055636000027284,0.006880990650008332,0.010936626650035615,0.0010936626650035616,6710.0,0.004055636000027284,0.0012121279499999961,0.005267763950027282,0.0005267763950027282
015.doduc.din,2,0.005361220000008207,0.0005361220000008207,0.030137630420060867,0.0030137630420060866,7551930.0,42530.0,0.9943683270369297,0.0026806100000041034,0.0037759650000342253,0.00645657500003833,0.0006456575000038329,2448070.0,28721.0,0.9882679008361689,0.0026806100000041034,0.0037759650000342253,0.003904644999998148,0.0003904644999998148,977660.0,25981.0,0.9734253216864759,0.004288976000006566,0.008803828300011174,0.013092804300017743,0.0013092804300017743,13256.0,0.004288976000006566,0.0023946301200000798,0.006683606120006647,0.0006683606120006647
015.doduc.din,4,0.0053564770000087,0.00053564770000087,0.030103147485062133,0.0030103147485062132,7551930.0,42389.0,0.9943869977608373,0.00267823850000435,0.0037759650000342253,0.006454203500038575,0.0006454203500038576,2448070.0,28243.0,0.9884631566907809,0.00267823850000435,0.0037759650000342253,0.0039022734999983946,0.0003902273499998395,977146.0,25894.0,0.9735003776303643,0.004285181600006959,0.008799199730011167,0.013084381330018127,0.0013084381330018126,13159.0,0.004285181600006959,0.0023771075550000787,0.0066622891550070385,0.0006662289155007038
015.doduc.din,8,0.005351950000008929,0.0005351950000008929,0.030053213700062736,0.0030053213700062735,7551930.0,42190.0,0.9944133486406787,0.0026759750000044645,0.0037759650000342253,0.006451940000038692,0.0006451940000038692,2448070.0,28160.0,0.9884970609500545,0.0026759750000044645,0.0037759650000342253,0.003900009999998509,0.00039000099999985093,976900.0,25780.0,0.9736104002456751,0.004281560000007145,0.008796984500011163,0.013078544500018309,0.001307854450001831,12960.0,0.004281560000007145,0.002341159200000076,0.006622719200007221,0.0006622719200007221
022.li.din,2,0.0049902670000369544,0.0004990267000036955,0.028823341650136836,0.0028823341650136836,7422540.0,23952.0,0.9967730722906175,0.0024951335000184772,0.003711270000033208,0.006206403500051685,0.0006206403500051685,2577490.0,49092.0,0.9809535633503913,0.0024951335000184772,0.003711270000033208,0.0037838785000135415,0.00037838785000135413,1076026.0,13658.0,0.987306998158037,0.003992213600029564,0.009689614130012483,0.01368182773004205,0.001368182773004205,6416.0,0.003992213600029564,0.0011590183199999963,0.00515123192002956,0.000515123192002956
